timestamp,step,turn,status,board,action
14:44:44.986016,15,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, 0, -1, 0, 1, 0, 0], [-1, 1, -1, -1, 1, 0, 0, 0], [-1, 1, 1, 1, 1, 1, 1, 0], [-1, -1, 1, -1, -1, 1, 0, 0], [0, -1, -1, 1, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0]]","[5, 2]"
14:44:46.135080,16,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, 0, -1, 0, 1, 0, 0], [-1, 1, -1, -1, -1, -1, 0, 0], [-1, 1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, -1, -1, -1, 0, 0], [0, -1, -1, 1, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0]]","[3, 5]"
14:44:46.135080,16,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, 0, -1, 0, 1, 0, 0], [-1, 1, -1, -1, -1, -1, 0, 0], [-1, 1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, -1, -1, -1, 0, 0], [0, -1, -1, 1, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0]]",
14:44:46.135080,16,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, 0, -1, 0, 1, 0, 0], [-1, 1, -1, -1, -1, -1, 0, 0], [-1, 1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, -1, -1, -1, 0, 0], [0, -1, -1, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, -1, 0, 0]]","[6, 6]"
14:44:47.289805,17,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, -1, -1, 0, 1, 0, 0], [-1, -1, -1, -1, -1, -1, 0, 0], [-1, 1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, -1, -1, -1, 0, 0], [0, -1, -1, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, -1, 0, 0]]","[2, 2]"
14:44:47.289805,17,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, -1, -1, 0, 1, 0, 0], [-1, -1, -1, -1, -1, -1, 0, 0], [-1, 1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, -1, -1, -1, 0, 0], [0, -1, -1, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, -1, 0, 0]]",
14:44:47.295910,17,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, -1, -1, 0, 1, 0, 0], [-1, -1, -1, -1, -1, -1, 0, 0], [-1, 1, 1, 1, -1, -1, 1, 0], [-1, 1, 1, -1, -1, -1, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, -1, 0, 0]]","[0, 6]"
14:44:48.437817,18,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, -1, -1, 0, 1, 0, 0], [-1, -1, -1, -1, -1, -1, 0, 0], [-1, -1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, -1, -1, -1, 0, 0], [1, -1, -1, 1, 1, 1, 1, 0], [0, -1, -1, -1, -1, -1, 0, 0]]","[7, 1]"
14:44:48.444626,18,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, -1, -1, 0, 1, 0, 0], [-1, -1, -1, -1, -1, -1, 0, 0], [-1, -1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, -1, -1, -1, 0, 0], [1, -1, -1, 1, 1, 1, 1, 0], [0, -1, -1, -1, -1, -1, 0, 0]]",
14:44:48.448760,18,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, -1, -1, 0, 1, 0, 0], [-1, -1, -1, -1, -1, -1, 0, 0], [-1, -1, 1, 1, -1, -1, 1, 0], [-1, -1, 1, 1, 1, 1, 1, 0], [1, -1, -1, 1, 1, 1, 1, 0], [0, -1, -1, -1, -1, -1, 0, 0]]","[6, 5]"
