timestamp,step,turn,status,board,action
14:20:24.270937,11,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, -1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, 1, 1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 6]"

14:20:25.496069,12,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 1, 0, 0, 0, 0], [1, 1, 1, -1, -1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, 1, 1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[1, 2]"

14:20:25.500335,12,white,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 1, 0, 0, 0, 0], [1, 1, 1, -1, -1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, 1, 1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:25.502319,12,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 1, 1, 1, -1, 1, 1, 0], [1, 1, 1, 1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 1]"

14:20:27.743965,13,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, 1, -1, -1, 0, 0, 0], [0, 1, 1, -1, -1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[6, 3]"

14:20:27.748501,13,white,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, 1, -1, -1, 0, 0, 0], [0, 1, 1, -1, -1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:27.749487,13,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, 1, -1, -1, 0, 0, 0], [0, 1, 1, -1, -1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 0]"

14:20:28.899985,14,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 1, -1, -1, -1, 1, 1, 0], [1, -1, 1, -1, -1, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 0]"

14:20:28.919964,14,white,THINKING,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 1, -1, -1, -1, 1, 1, 0], [1, -1, 1, -1, -1, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:28.921983,14,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, -1, 1, 1, -1, 0, 0, 0], [-1, -1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 6]"

14:20:31.127554,15,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, -1, -1, -1, 0], [1, 1, 1, -1, -1, -1, 1, 0], [1, -1, 1, 1, -1, 0, 0, 0], [-1, -1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 6]"

14:20:31.127554,15,white,THINKING,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, -1, -1, -1, 0], [1, 1, 1, -1, -1, -1, 1, 0], [1, -1, 1, 1, -1, 0, 0, 0], [-1, -1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:31.135834,15,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, -1, -1, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, -1, 1, 1, -1, 0, 1, 0], [-1, -1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[6, 4]"

14:20:32.344157,16,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, -1, -1, 0], [1, 1, 1, -1, -1, -1, -1, -1], [1, -1, 1, 1, -1, 0, 1, 0], [-1, -1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 7]"

14:20:32.363271,16,white,THINKING,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, -1, -1, 0], [1, 1, 1, -1, -1, -1, -1, -1], [1, -1, 1, 1, -1, 0, 1, 0], [-1, -1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:32.365838,16,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, -1, -1, 0], [1, 1, 1, -1, -1, -1, -1, -1], [1, -1, 1, 1, -1, 0, 1, 0], [1, 1, -1, -1, 1, 0, 0, 0], [1, 0, 1, -1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 6]"

14:20:35.621939,17,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, -1, -1, 0], [1, 1, 1, -1, -1, -1, -1, -1], [1, -1, 1, 1, -1, 0, 1, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[6, 4]"

14:20:35.637694,17,white,THINKING,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, -1, -1, 0], [1, 1, 1, -1, -1, -1, -1, -1], [1, -1, 1, 1, -1, 0, 1, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

